Column1,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium,Name,Category,Food_category,Vegan_cat,count,portion,vegan_score,vegan_score_2
701,0,4,8,1,2,3,2,2,0,3,1,2,4,0,5,6,0,1,3,3,1,0,prune plum,Fruit/Fresh fruit,Fruit,vegan,2,100,1.51,0.42
22,0,4,7,2,27,3,4,4,0,3,2,3,5,0,6,8,0,2,3,3,1,0,apricot,Fruit/Fresh fruit,Fruit,vegan,5,100,2.01,1.86
580,0,4,6,1,5,3,4,3,0,3,6,3,71,0,3,6,1,2,5,1,1,2,papaya ripe,Fruit/Fresh fruit,Fruit,vegan,4,100,1.26,0.53
11,0,4,0,0,0,2,2,3,0,1,0,1,8,0,4,3,0,1,2,1,1,0,apple juice,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,Fruit,vegan,1,100,0.75,0.16
76,0,3,8,3,0,2,4,3,0,2,28,2,6,0,0,10,4,2,7,6,5,0,beetroot,Vegetables/Fresh vegetables,Vegetables,vegan,6,100,4.02,0.85
702,0,3,8,1,2,2,2,2,0,3,1,2,2,0,6,4,0,2,3,3,1,0,prune plum stewed drained,Fruit/Cooked fruit (incl. cans),Fruit,vegan,2,100,1.76,0.48
163,0,3,3,1,71,6,5,14,0,3,1,4,7,0,5,7,2,2,4,3,1,0,carrot juice,Vegetables/Vegetable juices;Non-alcoholic beverages/Fruit and vegetable juices,Fruit,vegan,6,100,1.76,4.14
426,0,3,3,1,21,4,2,5,0,6,9,2,41,0,1,8,1,1,5,1,1,0,honeydew melon,Fruit/Fresh fruit,Fruit,vegan,6,100,1.01,1.33
387,0,2,11,1,1,4,3,1,0,2,6,3,42,0,3,5,0,2,3,4,2,0,gooseberry,Fruit/Fresh fruit,Fruit,vegan,3,100,2.26,0.53
393,0,2,4,1,4,5,2,2,0,2,4,4,38,0,2,4,0,2,3,1,1,0,grapefruit,Fruit/Fresh fruit,Fruit,vegan,1,100,1.26,0.48
715,0,2,3,1,27,1,6,7,0,4,9,8,11,0,1,7,0,2,2,3,11,0,pumpkin,Vegetables/Fresh vegetables,Vegetables,vegan,9,100,4.27,2.33
716,0,2,3,1,26,1,6,6,0,4,6,8,9,0,1,6,0,2,2,2,10,0,pumpkin steamed,Vegetables/Cooked vegetables (incl. cans),Vegetables,vegan,9,100,3.77,2.17
151,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,3,3,1,0,calimocho,Alcoholic beverages/Other alcoholic beverages;Non-alcoholic beverages/Soft drinks,Alcoholic beverages,vegan,0,100,1.26,0.27
