,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium,Name,Category,Food_category,Vegan_cat,count,portion,vegan_score,vegan_score_2
988,17.0,0.0,0.0,59.0,1.0,6.0,32.0,23.0,24.0,72.0,5.0,19.0,0.0,0.0,3.0,7.000000000000001,3.0,1.0,8.0,23.0,44.0,0.0,veal knuckle braised ,Meat and offal/Veal,Meat,not_vegan,15,100.0,31.91,6.79
989,15.0,0.0,0.0,41.0,1.0,8.0,25.0,32.0,25.0,77.0,5.0,18.0,0.0,0.0,2.0,9.0,4.0,0.0,8.0,15.0,28.999999999999996,0.0,veal knuckle raw,Meat and offal/Veal,Meat,not_vegan,15,100.0,21.36,4.56
990,14.000000000000002,2.0,0.0,39.0,1632.9999999999998,24.0,231.0,64.0,1500.0,120.0,80.0,132.0,24.0,2.0,2.0,8.0,5.0,1.0,6.0,49.0,50.0,0.0,veal liver raw,Meat and offal/Veal,Meat,not_vegan,18,100.0,34.92,94.06
991,8.0,0.0,0.0,41.0,1.0,8.0,17.0,36.0,40.0,0.0,2.0,25.0,0.0,25.0,4.0,8.0,4.0,0.0,6.0,5.0,41.0,0.0,veal minced raw,Meat and offal/Veal,Meat,not_vegan,12,100.0,21.86,5.99
992,8.0,0.0,0.0,40.0,1.0,8.0,17.0,36.0,40.0,0.0,2.0,25.0,0.0,25.0,2.0,8.0,4.0,0.0,6.0,4.0,46.0,0.0,veal ragout raw,Meat and offal/Veal,Meat,not_vegan,12,100.0,22.61,6.15
993,5.0,0.0,0.0,44.0,1.0,8.0,25.0,34.0,28.000000000000004,80.0,5.0,18.0,0.0,0.0,2.0,9.0,4.0,0.0,9.0,15.0,28.999999999999996,0.0,veal round schnitzel raw,Meat and offal/Veal,Meat,not_vegan,12,100.0,22.11,4.72
994,18.0,0.0,0.0,56.99999999999999,1.0,8.0,35.0,22.0,48.0,62.0,5.0,28.000000000000004,0.0,0.0,2.0,8.0,8.0,3.0,10.0,13.0,74.0,0.0,veal shoulder roast in oven ,Meat and offal/Veal,Meat,not_vegan,16,100.0,36.93,7.85
995,16.0,0.0,0.0,40.0,1.0,9.0,26.0,28.000000000000004,42.0,52.0,4.0,24.0,0.0,0.0,2.0,8.0,6.0,2.0,7.000000000000001,9.0,50.0,0.0,veal shoulder roast raw,Meat and offal/Veal,Meat,not_vegan,16,100.0,25.38,5.41
996,11.0,0.0,0.0,34.0,1.0,8.0,15.0,2.0,150.0,22.0,5.0,17.0,59.0,0.0,2.0,11.0,6.0,0.0,5.0,13.0,24.0,0.0,veal sweetbread raw,Meat and offal/Veal,Meat,not_vegan,13,100.0,17.84,3.82
997,39.0,1.0,0.0,34.0,2.0,15.0,26.0,9.0,100.0,31.0,2.0,33.0,3.0,0.0,1.0,5.0,6.0,1.0,5.0,19.0,32.0,0.0,veal tongue raw,Meat and offal/Veal,Meat,not_vegan,14,100.0,21.61,4.67
998,13.0,0.0,0.0,55.00000000000001,1.0,4.0,27.0,24.0,28.000000000000004,82.0,5.0,25.0,0.0,0.0,2.0,6.0,7.000000000000001,2.0,9.0,12.0,42.0,0.0,vealsteak pan fried ,Meat and offal/Veal,Meat,not_vegan,15,100.0,27.89,5.94
999,13.0,1.0,6.0,6.0,5.0,5.0,5.0,5.0,2.0,7.000000000000001,11.0,5.0,27.0,0.0,2.0,8.0,7.000000000000001,9.0,7.000000000000001,3.0,5.0,0.0,vegetable au gratin baked,"Prepared dishes/Cakes, pies and gratins",Prepared dishes,dishes_not_vegan,11,100.0,5.78,1.48
1000,25.0,4.0,4.0,9.0,10.0,2.0,8.0,4.0,3.0,3.0,2.0,3.0,8.0,0.0,3.0,3.0,31.0,12.0,5.0,2.0,6.0,0.0,vegetable lasagne prepared,Prepared dishes/Italian dishes,Prepared dishes,dishes_not_vegan,11,100.0,7.29,2.07
1001,1.0,1.0,7.000000000000001,3.0,15.0,5.0,5.0,8.0,0.0,5.0,12.0,5.0,33.0,0.0,5.0,6.0,1.0,3.0,4.0,3.0,2.0,0.0,vegetables  raw,Vegetables/Fresh vegetables,Vegetables,vegan,7,100.0,2.76,1.38
1002,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,vermouth  vol,Alcoholic beverages/Wine,Alcoholic beverages,vegan,2,100.0,1.01,0.21
1003,28.0,0.33,0.67,3.0,2.0,1.33,2.67,1.33,2.67,0.33,2.33,3.67,0.67,1.0,21.33,0.67,3.0,0.67,1.0,1.67,2.0,0.0,vinaigrette dressing ,Fats and oils/Salad dressings,Sauces,vegan,13,33.33,1.84,0.55
1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.1,0.05,0.1,0.0,vinegar,"Various/Salt, spices and flavours",spices and flavours,vegan,0,5.0,0.05,0.01
1005,36.67,0.33,1.0,0.67,0.0,1.0,0.33,1.0,0.0,0.33,0.33,0.33,0.67,0.0,30.67,0.67,6.0,0.67,1.33,0.33,0.67,0.0,vinegaroilsalad dressing homemade ,Fats and oils/Salad dressings,Sauces,vegan,5,33.33,0.59,0.12
1006,36.0,0.0,1.0,36.0,5.0,4.0,18.0,16.0,46.0,39.0,5.0,14.000000000000002,3.0,3.0,28.999999999999996,5.0,16.0,3.0,6.0,9.0,32.0,0.0,vitello tonnato with garnish,Meat and offal/Veal,Meat,not_vegan,15,100.0,20.1,4.67
1007,41.0,0.0,0.0,43.0,3.0,4.0,20.0,19.0,56.00000000000001,50.0,3.0,13.0,0.0,3.0,34.0,5.0,18.0,3.0,7.000000000000001,10.0,40.0,0.0,vitello tonnato without garnish,Meat and offal/Veal,Meat,not_vegan,15,100.0,24.12,5.41
1008,224.00000000000003,3.0,22.0,31.0,0.0,42.0,5.0,14.000000000000002,0.0,3.0,37.0,23.0,1.0,0.0,31.0,10.0,0.0,8.0,45.0,17.0,34.0,2.0,walnut,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,15,100.0,22.61,4.77
1009,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walnut oil,Fats and oils/Oils,Oils,vegan,4,33.33,0.0,0.0
1010,11.67,6.67,1.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.67,0.0,0.0,0.0,0.0,0.0,wasabi paste,Various/Sauces,Sauces,vegan,6,33.33,0.5,0.11
1011,1.0,0.0,9.0,4.0,32.0,9.0,11.0,13.0,0.0,3.0,71.0,3.0,40.0,0.0,10.0,8.0,3.0,16.0,6.0,9.0,2.0,0.0,water cress raw,Vegetables/Fresh vegetables,Vegetables,vegan,13,100.0,7.79,3.34
1012,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,water ice,Sweets/Water based ice cream,Dairy product,not_vegan,2,100.0,0.0,0.0
1013,1.0,3.0,1.0,1.0,4.0,3.0,2.0,5.0,0.0,2.0,1.0,3.0,8.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,watermelon fresh,Fruit/Fresh fruit,Fruit,vegan,1,100.0,1.01,0.42
1014,28.999999999999996,19.0,7.000000000000001,19.0,10.0,13.0,14.000000000000002,9.0,2.0,7.000000000000001,9.0,7.000000000000001,0.0,0.0,3.0,5.0,43.0,6.0,9.0,7.000000000000001,11.0,3.0,weggli bread roll made with butter,"Bread, flakes and breakfast cereals/Bread and bread products",Dairy product,not_vegan,19,100.0,10.8,2.81
1015,63.0,0.0,0.0,24.0,1.0,20.0,15.0,11.0,11.0,15.0,1.0,6.0,1.0,0.0,2.0,4.0,54.0,2.0,3.0,5.0,16.0,0.0,weisswurst ,Sausages and cold meats/Boiled sausage products,Meat,not_vegan,13,100.0,11.81,2.55
1016,16.0,7.000000000000001,150.0,30.0,0.0,83.0,46.0,39.0,0.0,150.0,65.0,38.0,0.0,0.0,22.0,34.0,0.0,7.000000000000001,155.0,107.0,114.99999999999999,0.0,wheat bran raw,"Bread, flakes and breakfast cereals/Flakes, bran and germs",Cereal,vegan,18,100.0,65.08,13.73
